wheel r v,wheel f v,accel v,brake lever,brake pid,braking,% slip a,% slip f
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
0,29,0,90,90,0,0,100
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
18,29,18,90,90,0,0,37.93103448
57,29,57,90,90,0,0,-96.55172414
57,29,57,90,90,0,0,-96.55172414
57,29,57,90,90,0,0,-96.55172414
57,29,57,90,90,0,0,-96.55172414
57,29,57,90,90,0,0,-96.55172414
57,29,57,90,90,0,0,-96.55172414
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
57,0,57,90,90,0,0,0
